$X,$Y,$H,$SL1,$SL2,$SL3,$SL4,$WWR_S,$WWR_N,$WWR_E, $WWR_W,$ORI,$WALL_U,$WIN_U,$GFLOOR_U, $FLOOR_SH,$ROOF_U,$WIN_G,$ACH,$LHG,$EHG,$ChillerCOP,$BoilerEfficiency,$ChillerPumpTypeCat,$BoilerPumpTypeCat,$ChillerTypeCat,Peak: Ground Floor,Peak: Intermediate Floor,Peak: Top Floor,Mean: Ground Floor,Mean: Intermediate Floor,Mean: Top Floor,Peak: Boiler Energy,Mean: Boiler Energy,Total: Boiler Energy
20,20,3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-180,0.03,0.5,0.03,900,0.03,0.1,0.2,5,10,3,0.7,0,0,0,5658.277727,5162.986205,5870.590204,144.68832,61.98138863,52.75844984,21219.40688,603.6480315,5287956.756
50,50,4.5,2.505,2.505,2.505,2.505,0.48,0.48,0.48,0.48,0,0.05,1.25,0.05,1050,0.05,0.5,0.6,8.5,12.5,4.5,0.85,0,0,0,60972.09388,54833.32788,57765.20709,3484.42824,2300.748151,2835.003432,188311.1995,11551.19167,101188439
65,35,3.75,1.2575,3.7525,3.7525,1.2575,0.715,0.715,0.715,0.715,90,0.04,0.875,0.06,975,0.06,0.3,0.8,6.75,11.25,5.25,0.775,0,0,1,61449.63324,56412.34335,64508.58148,4108.796666,2678.720912,3418.373579,201586.9864,13954.87517,122244706.5
35,65,5.25,3.7525,1.2575,1.2575,3.7525,0.245,0.245,0.245,0.245,-90,0.06,1.625,0.04,1125,0.04,0.7,0.4,10.25,13.75,3.75,0.925,1,1,0,50044.94804,47073.43453,52518.85948,2176.965918,1438.165382,1737.282034,184852.1109,6456.074512,56555212.73
42.5,42.5,4.875,4.37625,1.88125,0.63375,1.88125,0.8325,0.8325,0.5975,0.8325,-45,0.045,1.4375,0.045,1162.5,0.045,0.8,0.9,5.875,10.625,3.375,0.8125,1,1,1,75902.91272,70917.15393,68178.25059,6537.197742,5384.246953,5926.435358,226188.234,27707.31389,242716069.7
72.5,72.5,3.375,1.88125,4.37625,3.12875,4.37625,0.3625,0.3625,0.1275,0.3625,135,0.065,0.6875,0.065,1012.5,0.065,0.4,0.5,9.375,13.125,4.875,0.9625,0,0,0,58212.40254,51592.30316,72821.00482,2179.562479,675.8137285,908.9143097,261403.6286,5304.579336,46468114.98
57.5,27.5,5.625,3.12875,3.12875,4.37625,0.63375,0.1275,0.1275,0.3625,0.1275,45,0.035,1.8125,0.055,1087.5,0.055,0.6,0.3,7.625,11.875,5.625,0.7375,1,1,0,39628.97587,35388.85725,39082.91408,2090.153102,1256.550614,1681.409789,131892.5145,7879.010648,69020133.27
27.5,57.5,4.125,0.63375,0.63375,1.88125,3.12875,0.5975,0.5975,0.8325,0.5975,-135,0.055,1.0625,0.035,937.5,0.035,0.2,0.7,11.125,14.375,4.125,0.8875,0,0,1,37176.83623,36055.10799,39910.38801,1863.048232,1299.833726,1399.086644,126178.4176,5145.185953,45071828.95
31.25,38.75,5.8125,2.193125,2.816875,1.569375,2.193125,0.89125,0.89125,0.30375,0.65625,-157.5,0.0675,1.90625,0.0625,1181.25,0.0625,0.75,0.95,7.1875,10.9375,5.0625,0.75625,1,0,0,73816.04663,71727.10114,77343.32715,7724.738339,6643.855594,7774.032097,227266.1554,26884.98235,235512445.4
61.25,68.75,4.3125,4.688125,0.321875,4.064375,4.688125,0.42125,0.42125,0.77375,0.18625,22.5,0.0475,1.15625,0.0425,1031.25,0.0425,0.35,0.55,10.6875,13.4375,3.5625,0.90625,0,1,1,66350.82948,58263.66029,59157.07081,2776.544025,1649.64784,1850.550987,240311.316,7311.639151,64049958.96
76.25,23.75,5.0625,0.945625,1.569375,2.816875,0.945625,0.18625,0.18625,0.53875,0.42125,112.5,0.0575,1.53125,0.0325,1106.25,0.0325,0.55,0.35,5.4375,12.1875,4.3125,0.83125,1,0,1,48196.95473,45786.96795,47103.22621,2766.9313,1933.482334,2109.34521,155727.3055,9706.437913,85028396.12
46.25,53.75,3.5625,3.440625,4.064375,0.321875,3.440625,0.65625,0.65625,0.06875,0.89125,-67.5,0.0375,0.78125,0.0525,956.25,0.0525,0.15,0.75,8.9375,14.6875,5.8125,0.98125,0,1,0,47417.76963,43197.39054,52720.93362,2349.580195,1327.829013,1536.822394,172495.4975,7182.787819,62921221.29
38.75,31.25,3.9375,2.816875,4.688125,2.193125,0.321875,0.06875,0.06875,0.89125,0.30375,-22.5,0.0525,0.96875,0.0575,918.75,0.0575,0.25,0.25,8.0625,10.3125,4.6875,0.79375,0,1,1,21018.20983,18573.36744,23550.13119,887.6038353,392.7946888,526.260669,85405.28158,3081.145857,26990837.71
68.75,61.25,5.4375,0.321875,2.193125,4.688125,2.816875,0.53875,0.53875,0.42125,0.77375,157.5,0.0325,1.71875,0.0375,1068.75,0.0375,0.65,0.65,11.5625,12.8125,3.1875,0.94375,1,0,0,114765.2705,108760.5882,112782.5464,5785.631206,4305.217015,4961.293013,366187.362,15688.08426,137427618.1
53.75,46.25,3.1875,4.064375,0.945625,3.440625,1.569375,0.77375,0.77375,0.18625,0.53875,67.5,0.0625,0.59375,0.0475,993.75,0.0475,0.45,0.85,6.3125,11.5625,3.9375,0.71875,0,1,0,52869.03246,47417.80752,51902.47641,2917.845968,1771.583188,2046.763144,180569.8815,10050.39708,88041478.45
23.75,76.25,4.6875,1.569375,3.440625,0.945625,4.064375,0.30375,0.30375,0.65625,0.06875,-112.5,0.0425,1.34375,0.0675,1143.75,0.0675,0.85,0.45,9.8125,14.0625,5.4375,0.86875,1,0,1,43879.58566,39383.63027,47944.64131,2260.59539,1298.552487,1838.081444,143396.2361,6033.135671,52850268.48
25.625,48.125,4.40625,3.2846875,1.4134375,4.8440625,2.6609375,0.803125,0.450625,0.156875,0.098125,-33.75,0.05625,1.484375,0.04375,909.375,0.06125,0.575,0.825,5.21875,13.59375,5.71875,0.878125,1,1,0,45630.29003,44055.32888,48705.30781,3799.695268,3066.952568,3761.825066,147947.0045,16317.7219,142943243.9
55.625,78.125,5.90625,0.7896875,3.9084375,2.3490625,0.1659375,0.333125,0.920625,0.626875,0.568125,146.25,0.03625,0.734375,0.06375,1059.375,0.04125,0.175,0.425,8.71875,11.09375,4.21875,0.728125,0,0,1,108764.8239,97466.78357,109072.6602,5621.66046,3094.879509,3631.154616,368211.3147,16585.9757,145293147.1
70.625,33.125,3.65625,4.5321875,2.6609375,1.1015625,3.9084375,0.098125,0.685625,0.861875,0.803125,56.25,0.06625,1.859375,0.05375,984.375,0.03125,0.775,0.225,6.96875,14.84375,3.46875,0.953125,1,1,1,25720.9455,17462.92769,15223.92597,2512.043957,1308.076351,1263.201012,193836.1783,8017.118736,70229960.13
40.625,63.125,5.15625,2.0371875,0.1659375,3.5965625,1.4134375,0.568125,0.215625,0.391875,0.333125,-123.75,0.04625,1.109375,0.03375,1134.375,0.05125,0.375,0.625,10.46875,12.34375,4.96875,0.803125,0,0,0,67930.77011,67220.41249,79294.35743,3235.01263,2505.162514,3479.60432,235921.4131,10883.32109,95337892.74
48.125,25.625,5.53125,1.4134375,0.7896875,4.2203125,4.5321875,0.215625,0.568125,0.509375,0.920625,-168.75,0.06125,0.546875,0.03875,1171.875,0.05625,0.475,0.325,6.09375,12.96875,5.34375,0.990625,0,0,1,32302.79819,31103.74568,36555.23789,1653.10917,1132.666337,1567.382855,109938.7027,5682.043488,49774700.95
78.125,55.625,4.03125,3.9084375,3.2846875,1.7253125,2.0371875,0.685625,0.098125,0.039375,0.450625,11.25,0.04125,1.296875,0.05875,1021.875,0.03625,0.875,0.725,9.59375,10.46875,3.84375,0.840625,1,1,0,92890.60186,74240.38363,75519.47695,5064.051949,2966.196242,3204.233087,274266.5477,15157.94432,132783592.3
63.125,40.625,4.78125,0.1659375,4.5321875,0.4778125,3.2846875,0.920625,0.333125,0.274375,0.215625,101.25,0.05125,0.921875,0.06875,1096.875,0.04625,0.275,0.925,7.84375,14.21875,3.09375,0.915625,0,0,0,93452.83914,86950.39671,95527.46022,7262.652229,5184.021871,6107.312895,296182.714,23362.78091,204657960.8
33.125,70.625,3.28125,2.6609375,2.0371875,2.9728125,0.7896875,0.450625,0.803125,0.744375,0.685625,-78.75,0.03125,1.671875,0.04875,946.875,0.06625,0.675,0.525,11.34375,11.71875,4.59375,0.765625,1,1,1,34582.25665,31175.15039,39348.71301,1507.46134,836.8175914,1166.044179,128636.2618,3865.86064,33864939.2
29.375,29.375,4.59375,4.2203125,4.2203125,3.2846875,4.8440625,0.156875,0.509375,0.450625,0.626875,-11.25,0.04375,1.015625,0.05125,1190.625,0.03375,0.325,0.375,7.40625,12.65625,4.03125,0.896875,0,1,0,21081.04131,18486.81535,18192.14431,1168.768479,690.2293197,764.6212606,65029.80258,3932.755876,34450941.47
